"","FinitePool_1","MediaExp_5","DemEdu","DemHealthcare","MediaExp_7","Longitude_3","Personal_7","MediaExp_3","Trustingroups_5","Personal_5","Ethnicmin","FinitePool_4","SARS","KnowledgeCert_2","Trustingroups_2","DemGen","COVIDexp","Longitude_2","quota_age","FinitePool_5","Trustingroups_4","Friends_7","Vaccine_2","COVIDeffect_4"
"2","7","1","4","2","1","7","7","1","5","7","2","7","2","7","5","1","2","7","2","7","5","7","1","7"
"3","6","1","3","2","1","3","5","1","3","5","2","4","2","4","5","2","8","2","2","5","4","4","1","1"
"4","4","1","5","2","1","4","2","1","2","3","2","3","2","3","2","2","3","6","3","4","3","3","1","1"
"5","7","1","5","2","1","2","5","1","2","4","2","7","2","3","4","1","8","4","4","7","3","4","1","1"
"6","7","2","5","2","1","1","3","1","1","5","2","5","2","3","3","2","3","1","3","7","3","2","1","1"
"7","6","1","3","2","2","5","5","2","5","4","2","4","2","4","5","1","2","6","4","5","4","5","1","5"
"8","5","2","3","2","1","1","6","1","1","5","2","4","2","5","4","1","8","6","3","6","3","2","1","1"
"9","7","2","4","2","1","7","4","1","1","4","2","4","2","3","1","1","8","7","2","7","3","4","1","1"
"10","4","1","4","2","2","4","6","1","3","5","2","5","2","1","4","1","3","4","3","6","2","4","2","4"
"11","4","2","1","2","2","2","5","1","1","4","2","2","2","2","3","1","8","5","3","6","2","1","1","7"
"12","5","1","4","2","2","3","5","1","3","4","4","4","1","4","4","1","9","5","3","5","4","5","2","4"
"13","3","2","4","2","2","5","5","2","4","1","2","2","2","2","4","2","8","4","2","7","3","5","2","2"
"14","5","1","5","2","1","2","6","1","2","6","2","6","2","6","3","1","9","4","4","7","3","4","1","1"
"15","5","1","9","2","1","1","2","1","2","5","1","3","2","4","2","2","8","2","2","5","4","2","1","6"
"16","5","2","5","2","1","2","2","1","4","2","2","4","2","2","4","1","8","3","6","6","3","2","1","2"
"17","3","2","5","2","1","5","4","1","3","4","2","4","2","5","4","1","9","4","4","6","4","6","2","4"
"18","4","1","3","2","1","4","5","1","3","4","2","4","2","2","3","1","8","4","4","4","3","3","1","4"
"19","6","1","3","2","1","7","1","1","1","1","2","7","2","4","2","2","8","7","4","7","1","1","1","1"
"20","5","1","3","2","1","6","1","1","1","1","2","5","2","6","2","2","8","7","4","7","1","5","1","7"
"21","7","1","3","2","2","1","1","1","1","1","2","7","2","5","4","2","8","4","4","5","1","1","1","1"
"22","7","2","5","2","1","5","4","1","3","6","2","1","2","4","5","1","8","7","6","7","4","4","1","1"
"23","6","2","5","2","2","2","3","1","1","4","2","2","2","3","3","2","8","4","3","7","3","2","1","1"
"24","7","2","3","2","2","5","5","1","1","5","2","7","2","4","4","2","9","7","5","7","3","5","1","1"
"25","5","2","5","2","1","2","4","2","2","7","2","4","2","3","3","2","9","3","3","7","4","4","1","1"
"26","7","1","5","2","1","1","3","1","3","7","2","3","2","7","4","2","8","3","4","7","4","3","1","1"
"27","5","1","3","2","1","5","4","1","2","5","2","5","2","3","3","2","8","5","4","5","2","6","1","4"
"28","7","1","5","2","1","3","1","1","3","2","2","4","2","7","4","1","2","7","5","6","4","2","1","4"
"29","4","2","3","2","1","2","4","1","3","4","2","4","2","4","3","1","8","3","5","4","3","4","1","1"
"30","3","2","5","2","1","1","3","1","2","3","2","3","2","1","3","1","8","1","3","5","3","3","1","1"
"31","7","1","4","2","1","4","4","1","2","4","2","4","2","5","1","1","8","5","2","7","2","4","1","1"
"32","4","1","5","2","1","1","1","1","1","4","2","6","2","5","2","2","8","4","4","5","2","4","2","1"
"33","6","2","5","2","1","2","1","2","1","5","2","5","2","3","1","1","4","6","3","5","3","1","1","7"
"35","5","1","4","2","2","1","2","1","2","2","2","3","2","6","3","1","8","2","2","5","4","2","1","1"
"36","5","1","9","2","1","3","3","1","3","5","2","4","2","3","3","1","9","4","3","6","4","4","1","2"
"37","5","1","3","2","1","4","1","1","1","3","2","6","2","3","3","1","8","5","4","5","3","2","1","1"
"38","5","1","3","2","1","4","4","1","4","4","2","4","2","3","4","2","8","5","4","5","4","3","1","1"
"39","5","1","3","2","1","1","3","1","1","5","1","4","2","3","1","1","2","2","3","7","1","4","1","7"
"40","4","2","5","2","1","4","4","1","4","5","2","6","2","3","3","2","8","3","5","6","3","3","1","1"
"41","3","2","3","2","1","1","1","1","3","1","2","2","2","3","5","2","8","2","3","5","3","1","1","1"
"42","2","1","5","2","1","2","3","1","2","2","2","4","2","3","3","1","8","3","2","5","3","3","1","2"
"43","7","2","3","2","1","1","4","1","2","4","2","5","2","3","4","1","8","1","3","6","4","3","1","1"
"44","4","1","5","2","1","2","4","1","2","5","2","5","2","3","4","2","8","4","3","6","1","4","1","2"
"45","7","2","3","2","2","1","3","1","2","5","2","3","2","3","2","1","8","2","3","7","3","6","2","1"
"46","4","1","4","2","1","1","1","2","4","6","2","1","2","7","4","1","3","2","4","7","4","1","1","7"
"47","5","1","5","2","1","4","2","2","3","2","2","3","2","4","4","1","8","5","5","7","4","2","1","1"
"48","1","2","1","2","1","4","2","1","1","1","2","7","2","6","5","2","8","5","4","3","3","1","1","1"
"49","7","1","3","2","1","1","2","1","5","3","2","6","2","5","5","2","8","5","5","7","5","2","1","1"
"50","7","1","5","2","1","1","1","1","1","5","2","5","2","4","3","1","8","1","3","6","5","1","1","1"
"51","5","2","1","2","1","1","6","1","1","2","2","7","2","6","2","1","8","1","4","7","4","6","1","1"
"52","4","2","4","2","2","1","4","1","1","5","2","3","2","3","3","1","8","4","3","7","3","3","1","1"
"53","7","2","1","2","2","3","7","2","1","3","2","7","2","3","2","1","8","7","3","7","2","7","1","1"
"54","2","1","3","2","1","2","4","1","3","4","2","4","2","3","4","2","8","4","6","6","3","4","1","1"
"55","3","2","5","2","1","4","5","1","2","1","2","7","2","4","4","2","8","7","4","4","3","5","1","1"
"56","5","2","5","2","1","2","4","1","3","5","2","5","2","5","3","1","8","4","3","5","3","4","1","1"
"57","5","1","4","2","1","3","4","1","3","5","2","5","2","2","3","2","8","4","3","7","3","3","1","1"
"58","4","1","2","2","1","3","2","1","3","3","2","4","2","4","3","1","8","4","4","4","3","2","1","1"
"59","6","1","9","2","1","2","4","1","3","3","2","6","2","3","3","1","8","4","3","6","3","5","1","3"
"60","1","2","5","2","1","1","1","1","1","3","2","1","2","7","2","2","8","3","3","6","3","1","1","7"
"61","6","1","3","2","1","3","3","1","2","5","2","2","2","5","3","1","9","5","4","2","4","4","1","7"
"62","7","2","3","2","1","5","5","1","2","5","2","4","2","3","4","1","8","5","5","7","3","6","1","1"
"63","7","2","5","2","1","2","2","1","3","3","2","4","2","4","4","1","8","5","5","5","5","2","1","1"
"64","1","2","1","2","1","4","1","1","3","1","2","7","2","3","3","1","8","6","4","7","3","1","1","1"
"65","3","1","2","2","1","1","2","1","3","2","2","7","2","6","4","1","8","1","4","5","3","2","1","1"
"66","5","2","1","2","2","3","2","1","3","3","2","3","2","2","3","2","8","4","6","3","4","2","1","1"
"67","5","1","4","2","1","1","2","1","2","4","2","3","2","2","2","2","8","2","3","5","3","2","1","1"
"68","4","1","5","2","1","1","5","1","4","6","2","5","2","4","4","2","1","1","3","6","3","6","1","3"
"69","2","2","3","2","1","2","6","1","2","7","2","1","2","3","2","2","8","4","5","1","3","4","1","1"
"70","4","2","3","2","1","1","3","1","3","4","2","2","2","3","4","1","8","1","2","7","5","2","1","3"
"71","5","1","9","2","1","2","4","1","3","4","2","4","2","4","4","1","8","3","5","5","3","4","1","1"
"72","4","2","3","2","1","1","1","1","2","1","2","4","2","3","3","2","8","5","5","5","3","1","1","6"
"73","6","2","3","2","1","1","5","1","1","2","2","6","2","5","2","2","3","3","3","1","3","5","1","2"
"74","7","2","3","2","2","1","1","1","1","1","2","7","2","4","3","1","8","1","5","7","3","1","1","1"
"75","2","1","3","2","1","1","2","2","3","5","1","4","2","6","3","2","2","1","4","5","4","2","2","1"
"76","5","1","3","2","1","2","4","1","1","6","2","4","2","4","3","2","2","4","3","7","3","5","1","1"
"77","5","2","3","2","1","5","2","1","2","2","2","7","2","4","3","1","8","6","6","7","4","2","1","1"
"78","5","2","9","2","1","1","2","2","3","4","2","3","2","3","3","1","8","3","2","4","3","2","2","1"
"79","6","2","3","2","1","2","5","1","1","5","2","5","2","2","2","2","8","4","4","5","3","4","1","1"
"80","4","1","5","2","1","1","3","1","1","4","1","5","2","7","2","1","8","7","4","5","3","3","1","1"
"81","6","2","4","2","2","1","5","2","1","6","2","5","2","2","2","2","8","3","3","6","1","6","1","5"
"82","6","1","2","2","1","2","7","1","2","6","4","7","2","2","4","2","8","5","5","7","1","7","1","1"
"83","7","1","5","2","1","1","3","1","3","6","2","6","2","5","3","2","9","3","3","7","3","6","1","1"
"84","6","2","9","2","1","5","2","1","2","5","2","2","2","7","3","2","8","6","5","6","2","4","1","2"
"85","7","1","5","2","2","2","7","2","3","6","2","7","2","5","3","2","9","4","3","7","3","7","1","3"
"86","7","1","5","2","1","1","2","1","2","6","1","3","2","2","2","2","8","3","4","7","3","2","1","5"
"87","7","1","3","2","1","1","3","1","3","4","2","1","2","2","5","2","9","1","4","5","4","3","1","1"
"88","6","2","5","2","1","7","1","1","2","2","2","6","2","2","2","2","9","7","5","6","3","2","1","1"
"89","5","1","3","2","1","1","4","1","1","2","2","5","2","6","2","1","8","3","4","5","1","6","1","7"
"90","6","2","5","2","1","3","1","1","1","4","2","6","2","3","4","1","8","5","3","6","2","6","2","4"
"91","4","2","3","2","1","1","1","1","2","3","2","7","2","4","4","1","8","7","3","4","3","1","1","1"
"92","7","2","3","2","2","1","4","2","1","5","2","7","2","7","1","1","8","1","3","7","1","5","2","1"
"93","5","2","2","2","1","1","1","1","2","1","2","5","2","2","5","1","8","2","6","2","3","1","2","2"
"94","5","1","5","2","1","3","4","1","4","4","2","3","2","4","4","2","8","4","5","7","4","4","1","1"
"95","4","2","3","2","1","5","4","1","1","3","2","4","2","6","4","1","8","7","2","6","3","4","1","1"
"96","4","1","4","2","1","1","1","1","3","2","2","1","2","4","3","2","8","2","2","4","3","2","1","1"
"97","2","2","3","2","2","2","2","1","3","4","2","1","2","5","3","1","8","3","3","6","3","2","2","1"
"98","7","2","5","2","1","5","2","1","3","2","2","3","2","6","4","1","8","6","6","6","3","3","1","1"
"99","4","1","5","2","1","7","7","1","1","1","2","5","2","6","1","1","2","7","5","4","1","7","1","7"
"100","4","2","4","2","2","4","4","1","4","7","2","5","2","3","3","2","8","5","3","4","4","4","1","3"
"101","4","2","3","2","1","7","4","1","2","4","2","6","2","6","4","1","8","7","4","6","2","4","2","1"
"102","5","1","5","2","1","2","4","1","3","5","2","4","2","3","3","1","9","4","4","5","3","3","1","2"
"103","5","1","2","2","1","2","4","1","4","6","2","2","2","2","4","2","8","4","6","5","4","4","1","1"
"104","6","2","1","2","1","1","1","1","1","1","2","7","2","7","2","2","8","7","3","7","3","1","1","1"
"105","5","1","5","2","1","2","2","1","1","2","2","3","2","7","1","1","8","5","3","6","3","2","1","2"
"106","4","2","3","2","2","4","4","2","2","4","2","4","2","4","3","2","2","4","4","4","3","4","1","3"
"107","6","2","4","2","1","1","5","1","2","5","2","5","2","3","2","1","8","3","3","6","3","4","1","5"
"108","7","2","3","2","1","2","1","1","3","3","2","1","2","3","3","1","2","3","6","4","3","1","1","1"
"109","6","2","3","2","1","1","5","1","1","5","2","6","2","4","2","1","8","3","4","6","1","4","1","1"
"110","6","1","9","2","1","6","5","1","4","6","2","7","1","6","5","1","8","7","3","5","5","6","1","6"
"111","6","1","3","2","1","3","4","1","2","1","2","6","2","2","4","1","8","5","5","7","3","4","1","1"
"112","2","2","3","2","1","5","2","1","1","2","2","2","2","2","4","1","8","6","3","6","1","2","1","2"
"113","5","2","4","2","1","1","4","1","2","6","2","5","2","3","2","2","8","3","3","5","2","4","1","1"
"114","7","2","5","2","1","7","2","1","2","2","2","2","2","4","2","2","3","7","5","7","3","2","1","1"
"115","5","2","3","2","1","3","4","1","2","4","2","7","2","4","3","1","8","5","5","7","3","2","1","1"
"116","6","2","2","2","1","4","2","1","1","4","2","4","2","3","4","1","9","5","4","4","2","2","1","1"
"117","6","2","5","2","1","5","1","1","4","5","2","2","2","5","4","2","2","6","4","3","4","2","1","1"
"118","7","1","4","2","1","3","5","1","2","7","2","6","2","5","3","1","8","4","4","7","3","5","1","5"
"119","7","2","3","2","1","2","3","1","3","3","2","4","2","4","3","1","8","4","6","6","3","3","1","1"
"120","4","2","5","2","1","1","1","1","2","4","2","3","2","3","3","1","8","4","3","6","3","3","2","1"
"121","5","2","9","2","1","5","3","1","3","4","2","3","2","4","4","1","8","7","4","7","3","2","1","4"
"122","6","2","9","1","2","2","1","1","3","3","1","4","2","7","3","2","3","2","5","7","3","1","1","4"
"123","6","2","3","2","2","5","5","2","3","5","2","4","2","4","3","2","8","4","2","4","3","4","2","1"
"124","6","1","3","2","1","3","4","1","3","4","2","3","2","3","3","2","2","6","4","5","3","3","1","6"
"125","7","2","3","2","1","4","5","1","3","6","2","7","2","3","4","2","8","7","5","7","3","5","1","1"
"126","6","1","4","2","1","2","3","1","2","4","2","2","2","7","3","1","8","3","3","4","3","2","1","1"
"127","6","2","5","2","1","5","1","1","1","2","2","5","2","5","3","2","8","6","4","6","3","1","1","1"
"128","5","1","3","2","1","2","4","1","2","4","2","5","2","3","3","2","8","4","3","2","3","5","1","1"
"129","7","2","3","2","2","3","1","1","3","4","2","1","2","7","2","1","8","7","4","1","3","1","2","1"
"130","7","1","3","2","1","3","1","1","3","1","2","1","2","7","5","1","8","7","4","7","3","1","2","1"
"131","4","2","5","2","1","2","1","1","4","5","2","2","2","7","5","2","8","3","5","6","4","1","1","1"
"132","3","2","5","2","1","3","1","1","1","1","2","1","2","2","2","1","8","7","3","7","2","1","1","1"
"133","7","2","3","2","1","4","1","1","3","4","2","1","2","3","4","2","2","5","5","7","4","2","1","1"
"134","5","2","3","2","1","1","4","2","5","1","2","2","2","4","3","1","8","3","1","4","4","2","1","4"
"135","7","1","5","2","1","1","7","1","2","5","2","7","2","3","1","1","8","2","3","7","2","5","1","1"
"136","4","1","4","2","1","2","4","1","2","3","2","5","2","2","4","2","8","3","4","5","3","3","1","3"
"137","4","1","4","1","1","3","3","1","3","3","4","4","2","5","3","1","2","4","3","2","3","2","1","4"
"138","5","2","4","2","1","2","1","1","3","4","2","1","2","3","3","2","8","3","2","5","3","1","1","1"
"140","4","1","3","2","1","1","3","1","2","4","2","4","2","4","3","1","8","4","3","5","3","3","1","1"
"141","3","1","4","2","1","1","3","1","2","5","2","2","2","4","3","1","8","4","3","6","1","1","1","3"
"142","7","2","3","2","1","1","3","1","2","4","2","6","2","4","3","1","9","4","5","7","3","3","1","1"
"143","5","2","3","2","1","5","5","1","1","7","2","7","2","4","3","1","8","6","4","7","2","4","1","1"
"144","7","2","3","2","1","5","1","1","2","1","2","5","2","7","5","2","8","6","5","7","4","2","1","1"
"145","5","2","5","2","1","4","6","1","2","5","2","7","2","3","3","2","8","6","6","6","3","5","1","1"
"146","6","1","3","2","2","4","7","1","3","7","2","7","2","5","2","1","2","6","3","7","3","7","1","7"
"147","2","1","5","2","1","1","1","1","3","4","2","2","2","3","4","1","8","3","2","7","3","1","1","7"
"148","6","1","5","2","1","2","1","1","1","4","2","4","2","2","3","1","8","3","5","1","4","4","2","1"
"149","7","1","3","2","1","7","5","1","1","6","2","7","2","4","3","1","8","7","4","7","4","5","1","5"
"150","7","1","5","2","1","4","7","1","2","7","1","7","2","2","3","1","9","6","3","7","4","7","1","1"
"151","1","1","5","2","1","1","4","1","3","7","2","3","2","7","3","2","8","1","4","7","3","4","2","1"
"152","3","1","5","2","1","2","1","1","3","2","2","1","2","4","4","1","8","4","5","1","4","1","1","1"
"153","5","2","3","2","1","3","3","1","2","3","2","4","2","3","3","1","8","4","3","6","2","3","1","1"
"154","7","1","5","2","1","3","5","1","2","5","2","7","2","7","3","1","8","5","4","7","3","6","1","1"
"155","4","1","3","2","1","3","4","1","2","5","2","4","2","5","2","1","8","3","4","5","3","4","1","1"
"156","4","2","3","2","1","3","4","1","2","4","4","1","2","4","3","2","8","4","1","3","3","4","1","1"
"157","7","2","5","2","1","1","1","1","1","1","2","7","2","3","2","2","8","1","3","7","3","1","1","1"
"158","5","2","3","2","2","6","5","2","3","5","2","5","1","5","4","2","4","5","4","5","3","6","1","5"
"159","4","1","2","1","1","4","4","1","1","4","4","4","2","1","3","1","8","4","1","4","1","3","2","4"
"160","7","2","3","2","1","2","4","1","2","6","1","7","2","3","3","1","8","4","4","6","4","4","1","1"
"161","7","2","5","2","1","5","4","1","1","6","2","4","2","5","3","1","8","6","4","6","3","5","1","1"
"162","4","2","4","2","2","5","5","2","4","5","2","5","2","3","3","2","4","5","3","5","3","4","1","4"
"163","5","2","3","2","1","1","6","1","2","5","2","3","2","7","2","2","8","1","2","7","5","1","1","1"
"164","6","2","5","2","1","5","4","1","2","4","2","5","2","5","2","2","8","6","4","5","1","5","2","1"
"165","3","1","4","2","1","3","5","1","1","6","4","7","2","6","2","1","8","3","3","6","3","5","1","1"
"166","4","1","4","2","1","1","3","1","2","5","2","7","2","3","4","1","8","1","4","7","3","3","2","1"
"167","4","2","5","2","2","1","7","1","3","5","4","7","2","2","3","2","8","1","6","1","3","7","1","3"
"168","5","1","3","2","1","1","2","1","3","4","2","5","2","3","3","2","2","3","3","4","3","3","2","1"
"169","6","2","5","2","2","1","3","1","3","3","2","3","2","6","3","2","9","3","4","6","3","3","1","1"
"170","7","1","9","2","1","2","1","1","1","2","4","7","2","4","1","1","8","3","5","7","1","6","1","1"
"171","6","2","3","2","1","1","1","1","1","1","2","6","2","3","2","1","8","5","4","6","3","2","1","1"
"172","7","1","5","2","1","1","5","1","1","6","2","5","2","4","2","1","9","3","4","7","1","6","2","7"
"173","7","2","5","2","1","3","5","1","3","4","2","5","2","1","3","2","8","5","2","6","3","4","1","4"
"174","7","1","3","2","1","1","4","1","3","4","2","7","2","7","4","1","8","3","4","7","4","4","1","1"
"175","4","2","4","1","2","1","4","2","3","4","4","4","2","4","3","1","9","1","3","4","3","4","1","4"
"176","5","2","4","2","1","1","5","1","2","5","2","1","2","7","3","2","8","2","2","6","4","4","1","1"
"177","6","2","5","2","1","1","1","1","3","2","2","4","2","2","3","2","8","1","6","4","4","1","1","1"
"178","4","2","3","2","2","1","7","2","1","7","2","7","2","4","1","1","9","4","3","7","3","7","1","1"
"179","7","2","5","2","1","2","3","1","1","5","2","5","2","2","4","1","8","3","3","7","2","3","1","6"
"180","5","1","3","2","1","1","1","1","3","5","2","1","2","4","4","2","8","4","1","5","4","4","1","1"
"181","5","1","9","1","1","2","4","2","2","4","2","3","2","3","4","2","2","4","4","6","3","2","1","1"
"182","4","1","9","2","1","5","4","1","4","4","2","5","2","3","3","1","3","3","3","5","5","6","1","4"
"183","5","2","2","2","1","3","4","1","2","5","2","4","2","2","4","1","8","6","4","7","4","5","1","1"
"184","2","2","3","2","1","2","1","1","1","1","2","2","2","3","4","1","8","2","4","4","3","1","2","1"
"185","5","1","3","2","1","5","4","1","4","4","1","5","2","5","4","1","8","5","2","5","4","1","1","4"
"186","6","1","2","2","2","1","4","1","2","4","2","6","2","4","2","1","8","5","5","7","3","4","1","1"
"187","7","2","2","2","1","1","6","1","1","5","2","7","2","4","2","2","8","1","2","7","2","1","1","1"
"188","4","2","4","2","1","4","4","1","3","4","4","4","2","4","3","1","8","5","3","4","3","4","1","4"
"189","5","1","3","2","2","3","3","1","1","4","2","5","2","6","1","1","9","6","2","5","4","3","1","5"
"190","5","2","3","2","1","2","4","1","2","3","2","5","2","6","3","1","8","3","5","4","3","3","1","2"
"191","3","1","3","2","1","5","7","1","3","7","2","6","2","4","3","1","8","4","4","7","4","7","1","4"
"192","7","1","2","2","1","1","7","1","1","7","2","7","2","4","2","2","8","1","5","7","1","7","2","1"
"193","6","2","3","2","1","5","1","1","1","2","2","4","2","3","3","1","8","6","5","6","3","2","1","1"
"194","4","1","3","2","1","1","3","1","2","2","2","4","2","3","3","1","9","5","3","5","3","4","1","1"
"195","4","2","3","2","1","4","5","1","2","5","2","4","2","3","3","1","8","6","2","7","4","4","1","1"
"196","7","2","3","2","1","5","5","2","3","5","1","7","2","2","3","2","3","4","5","7","3","5","2","4"
"197","7","2","1","2","2","4","3","1","1","4","2","5","2","2","3","2","8","5","5","7","3","3","1","1"
"198","4","1","5","2","1","1","6","1","2","7","2","5","2","2","4","1","8","1","4","7","3","7","2","1"
"199","5","2","5","2","1","1","3","2","2","4","2","4","2","4","2","1","8","4","3","4","2","3","1","1"
"200","7","2","5","1","1","1","4","1","3","1","2","4","2","3","3","2","2","1","3","7","3","1","1","1"
"201","6","1","3","2","1","6","1","1","1","1","2","5","2","6","3","1","8","7","6","4","3","1","1","1"
"202","5","1","5","2","1","5","2","1","3","2","2","5","2","4","3","1","8","5","3","5","3","2","2","1"
"203","7","1","3","2","1","1","1","1","2","5","1","1","2","3","3","1","9","2","3","7","3","1","1","1"
"204","1","1","5","2","1","3","7","1","1","4","2","5","2","3","2","2","8","7","4","7","2","4","1","1"
"205","4","1","3","2","1","1","2","1","2","2","2","4","2","3","2","2","8","2","4","3","4","2","1","1"
"206","3","1","4","2","1","1","2","1","1","5","2","3","2","2","1","1","8","1","3","6","2","3","1","1"
"207","5","1","2","2","1","1","4","1","3","6","1","6","2","3","4","1","8","5","2","7","4","4","2","5"
"208","5","1","3","2","1","2","3","1","2","2","2","4","2","5","3","1","8","4","4","5","3","3","1","1"
"209","4","1","5","1","1","6","5","1","5","5","1","5","1","4","5","1","5","6","3","4","5","5","1","6"
"210","7","2","3","2","1","1","6","1","1","5","2","7","2","3","2","2","9","1","3","7","2","5","1","3"
"211","4","2","3","2","1","2","2","1","2","4","2","5","2","3","2","2","2","4","3","5","3","3","1","1"
"212","6","1","3","2","2","6","5","1","3","6","4","6","2","5","4","1","8","6","1","6","5","6","1","4"
"213","4","2","3","2","1","1","1","1","3","4","2","1","2","6","4","2","8","4","5","4","5","1","1","1"
"214","4","1","3","2","1","1","1","1","3","2","2","6","2","7","2","2","8","2","4","7","4","2","1","1"
"215","7","2","3","2","1","1","2","1","1","1","2","6","2","3","3","2","3","2","3","7","3","1","1","1"
"216","5","2","4","1","1","4","1","1","3","1","2","3","2","5","3","2","8","4","2","5","3","1","1","1"
"217","4","1","3","2","1","1","3","1","2","4","2","5","2","5","3","2","8","4","5","5","3","4","1","1"
"218","6","1","5","2","1","2","2","1","3","4","2","2","2","4","3","1","8","4","5","6","3","4","1","1"
"219","4","2","3","2","1","3","4","1","2","4","4","1","2","4","2","2","8","5","1","4","3","4","1","1"
"220","3","1","2","2","1","1","7","1","1","7","2","3","2","6","1","2","8","7","5","4","4","4","1","1"
"221","6","1","3","2","1","5","3","1","2","5","2","2","2","6","3","1","8","5","4","7","2","3","1","2"
"222","6","2","2","2","1","1","2","1","2","2","2","6","2","5","3","1","8","3","3","7","3","1","2","1"
"223","6","2","3","2","1","1","3","2","2","4","2","4","2","2","2","2","9","1","1","7","1","3","1","1"
"224","7","1","3","2","1","7","5","1","2","5","2","4","2","1","3","1","8","3","4","6","4","5","1","4"
"225","7","2","4","2","1","2","2","1","2","4","2","6","2","4","4","1","8","4","4","6","4","2","1","1"
"226","5","2","3","2","2","4","5","2","3","3","2","3","2","4","4","2","6","3","2","5","3","3","2","6"
"227","6","1","5","2","1","5","4","1","1","4","2","4","2","6","2","2","2","5","5","6","3","4","1","1"
"228","5","1","3","2","1","2","3","1","2","3","2","5","2","3","3","2","8","4","5","5","2","2","1","1"
"229","7","1","3","2","1","7","1","1","2","6","2","1","2","7","3","2","9","7","5","7","4","1","1","2"
"230","4","1","4","2","1","2","3","1","2","2","2","4","2","5","4","2","8","4","2","6","3","3","1","2"
"231","4","2","3","2","1","1","5","1","1","5","2","7","2","4","1","2","9","3","3","7","3","4","1","1"
"232","7","2","4","2","1","1","1","1","1","1","2","1","2","3","1","2","8","3","3","7","1","1","1","1"
"233","5","2","5","2","1","2","4","1","4","4","2","5","2","1","3","2","8","5","2","5","4","5","1","4"
"234","3","2","1","2","1","1","1","1","3","2","2","2","2","2","4","2","8","1","5","4","4","2","1","1"
"235","6","1","3","2","1","2","4","1","2","4","2","6","2","2","3","2","8","6","3","6","3","5","1","1"
"236","5","1","4","2","1","2","1","1","3","1","2","1","2","4","3","2","8","5","2","6","4","1","2","1"
"237","7","2","2","2","1","4","4","1","3","5","2","4","2","4","4","2","8","5","5","7","3","4","1","1"
"238","6","2","5","2","1","1","2","1","2","4","2","2","2","2","4","1","9","2","3","5","3","3","1","1"
"239","2","2","3","2","1","2","7","1","1","7","2","7","2","3","2","1","8","3","3","7","1","7","1","7"
"240","6","1","3","2","1","4","6","1","2","4","2","7","2","2","3","2","8","6","4","6","1","6","1","1"
"241","7","1","3","2","1","1","4","1","1","3","2","7","2","6","3","1","8","1","3","7","2","6","1","1"
"242","2","2","4","2","2","1","7","1","1","4","2","7","2","7","3","1","8","5","2","7","3","7","1","2"
"243","6","1","5","1","1","3","3","1","2","5","1","5","2","4","3","1","9","4","4","7","3","3","1","1"
"244","7","2","2","2","2","1","1","1","2","2","1","7","2","6","3","1","8","4","3","7","2","2","1","1"
"245","3","1","9","2","2","6","5","2","3","7","2","4","2","4","3","2","4","5","3","4","2","4","2","2"
"246","2","2","5","2","1","2","6","1","2","6","2","6","2","4","3","1","8","5","5","7","3","5","1","1"
"247","5","1","1","2","1","1","3","1","3","3","2","5","2","4","4","1","8","1","4","7","3","3","1","1"
"248","4","2","1","2","1","7","4","1","4","5","2","4","2","4","5","1","8","7","5","4","4","4","1","1"
"249","7","1","5","2","1","7","7","1","4","7","2","7","2","5","3","2","8","7","3","7","3","7","1","7"
"250","6","2","3","2","2","3","6","1","2","6","2","6","2","6","4","2","8","6","6","7","3","6","2","1"
"251","5","2","3","2","1","1","7","1","1","5","2","7","2","5","1","1","8","1","3","7","1","5","1","1"
"252","7","1","5","2","1","1","2","1","3","5","2","4","2","4","3","2","8","2","3","7","4","2","1","1"
"253","4","1","4","2","1","1","2","1","3","5","2","3","2","3","3","1","8","1","2","5","3","2","1","1"
"254","7","2","5","1","1","6","1","1","4","1","2","7","2","1","1","2","8","7","4","1","2","1","1","7"
"255","6","2","3","2","1","1","1","1","1","5","2","4","2","7","3","1","8","3","3","4","3","1","1","4"
"256","5","1","3","2","1","7","1","1","1","2","2","2","2","6","2","2","2","7","5","3","3","1","1","1"
"257","4","2","3","2","1","1","1","1","4","1","2","1","2","4","4","1","8","1","6","3","4","1","1","1"
"258","4","1","5","2","1","1","1","1","2","4","2","5","2","6","2","2","8","1","5","4","2","3","2","1"
"259","5","2","3","2","1","1","1","1","1","3","2","6","2","2","1","1","8","1","1","7","3","1","1","1"
"260","7","1","5","2","1","7","7","1","1","7","2","7","2","4","4","1","8","7","4","7","4","7","1","7"
"261","6","1","3","2","2","2","3","2","4","4","2","4","2","5","4","1","8","5","1","3","4","5","1","5"
"262","1","2","1","2","2","1","7","2","1","1","2","7","2","6","1","2","8","7","4","2","1","7","2","1"
"263","7","1","9","2","1","7","6","1","5","7","2","7","2","6","5","1","8","7","3","7","5","6","1","1"
"264","4","2","5","2","1","3","1","1","1","1","4","1","2","5","3","1","8","4","2","4","4","1","1","1"
"265","5","2","3","2","2","2","1","1","3","2","2","4","2","3","3","2","9","3","6","5","3","3","1","1"
"266","7","2","5","1","1","1","1","1","4","2","2","1","2","3","4","2","8","4","2","6","4","1","1","5"
"267","7","1","3","2","2","1","1","1","1","3","4","5","2","3","4","2","8","3","4","4","2","3","1","2"
"268","7","1","1","2","1","7","1","1","2","1","1","1","2","1","5","2","8","7","5","7","2","1","1","1"
