"","FinitePool_1","MediaExp_5","DemEdu","DemHealthcare","MediaExp_7","Longitude_3","Personal_7","MediaExp_3","Trustingroups_5","Personal_5","Ethnicmin","FinitePool_4","SARS","KnowledgeCert_2","Trustingroups_2","DemGen","COVIDexp","Longitude_2","quota_age","FinitePool_5","Trustingroups_4","Friends_7","Vaccine_2","COVIDeffect_4"
"4387","7","1","4","2","1","5","7","1","1","7","2","7","2","2","2","2","8","3","2","6","2","1","1","1"
"4388","7","1","4","2","1","1","5","1","2","5","2","7","2","5","4","1","8","4","2","7","4","5","1","1"
"4389","6","1","5","2","1","3","6","1","1","6","1","6","2","2","4","1","8","4","3","6","4","5","1","5"
"4390","5","1","3","2","1","1","1","1","1","7","2","5","2","3","1","2","8","1","2","7","1","1","1","1"
"4391","4","1","4","2","1","1","3","1","2","6","2","4","2","3","2","1","8","1","3","6","3","4","1","1"
"4392","7","1","3","2","1","1","7","1","1","4","2","7","2","2","2","1","8","1","5","5","2","7","1","1"
"4393","6","1","4","2","1","1","7","1","1","7","1","7","2","1","5","2","8","1","2","7","5","7","1","1"
"4394","7","1","4","2","1","1","1","1","1","3","2","7","2","5","1","2","8","1","2","5","1","5","1","1"
"4395","3","1","4","2","1","1","1","1","3","6","2","1","2","3","5","2","8","2","2","7","5","1","1","1"
"4396","5","1","3","2","1","1","1","1","2","1","2","6","2","5","4","2","8","3","1","6","3","1","2","1"
"4397","7","1","2","2","1","1","5","1","1","5","2","7","2","3","3","2","8","2","1","6","2","4","1","1"
"4398","5","1","4","2","1","2","4","1","2","2","2","5","2","5","4","2","8","3","1","7","4","4","1","1"
"4399","5","1","4","2","1","2","2","1","2","4","2","4","2","3","3","1","8","2","2","7","3","2","1","1"
"4400","4","1","4","1","1","3","2","1","1","2","1","4","2","2","2","2","8","5","1","5","3","2","1","1"
"4401","4","2","1","2","2","3","3","1","2","3","2","2","2","3","2","2","8","3","1","4","1","4","1","1"
"4402","7","1","4","2","1","1","1","1","2","6","2","6","2","3","3","2","8","1","3","4","4","1","1","1"
"4403","7","1","5","2","1","1","1","1","1","4","2","6","2","4","4","1","8","3","2","7","5","3","1","1"
"4404","7","1","5","2","1","1","4","1","2","6","2","5","1","2","3","2","2","3","3","7","4","3","1","4"
"4405","7","2","4","2","1","1","1","1","1","4","2","4","2","1","5","2","8","1","1","4","5","4","1","7"
"4406","6","1","4","2","1","1","1","1","1","1","2","1","2","1","2","2","8","1","4","6","1","1","1","1"
"4407","7","2","4","2","2","1","2","1","1","3","2","4","2","3","4","1","8","4","2","6","2","2","1","1"
"4408","5","1","2","2","1","1","5","2","1","7","2","4","2","4","5","1","8","1","2","6","3","7","1","1"
"4409","7","1","4","2","1","1","7","1","5","7","2","7","2","5","5","1","8","7","4","7","1","7","1","7"
"4410","5","1","4","2","1","1","2","1","4","6","1","3","2","4","1","1","8","2","2","6","3","4","1","4"
"4411","7","1","4","2","1","6","1","1","1","1","2","7","2","5","3","1","8","7","6","7","3","1","1","1"
"4412","7","1","4","2","1","1","1","1","3","1","2","7","2","1","3","2","8","1","4","1","2","1","1","1"
"4413","6","2","5","2","1","6","2","1","1","6","1","3","2","6","2","2","8","6","4","6","3","2","1","1"
"4414","3","1","4","1","1","7","2","1","1","5","2","3","2","3","3","1","8","7","2","7","3","4","1","1"
"4415","7","1","4","1","1","1","5","1","1","6","1","7","2","2","3","1","8","1","2","7","4","7","1","1"
"4416","5","1","2","2","1","1","3","1","1","4","1","5","2","4","3","1","8","1","4","7","3","3","2","1"
"4417","7","1","2","2","1","2","1","1","2","4","1","4","2","2","3","1","8","4","3","7","4","1","1","1"
"4418","4","1","5","2","1","3","2","1","3","5","2","5","2","5","3","2","8","4","2","7","4","4","1","1"
"4419","7","1","4","2","1","3","6","1","1","7","2","7","2","4","3","2","8","5","5","4","3","7","1","1"
"4420","4","2","2","2","2","2","1","1","3","2","4","3","2","7","2","2","8","4","1","3","3","2","1","1"
"4421","6","1","4","2","1","1","3","1","1","4","1","3","2","2","3","1","8","2","2","7","2","4","1","7"
"4422","7","1","4","2","2","1","3","1","1","3","2","2","2","3","2","1","8","4","2","7","3","2","1","2"
"4423","7","2","2","2","1","1","7","1","3","4","2","7","2","3","3","1","8","1","3","7","4","7","2","1"
"4424","7","2","3","2","1","5","1","1","1","4","2","7","2","1","4","2","8","5","2","7","4","2","1","1"
"4425","6","1","4","2","1","4","4","1","2","5","2","4","2","3","3","2","8","5","2","5","3","4","1","1"
"4426","7","1","1","2","1","1","5","1","2","7","2","5","2","4","1","1","8","1","1","7","1","7","1","1"
"4427","6","1","2","2","1","1","7","1","1","7","1","7","2","2","2","2","9","3","2","7","1","7","1","1"
"4428","6","1","4","2","1","1","2","1","2","5","2","4","2","3","2","2","8","3","2","5","3","3","1","1"
"4429","6","2","4","2","1","1","4","1","2","5","1","5","2","2","4","2","8","2","1","6","4","3","1","1"
"4431","7","1","5","2","1","1","1","1","2","7","2","7","2","2","4","1","8","1","3","7","4","1","1","1"
"4432","4","2","4","2","1","1","1","1","1","5","2","1","2","3","4","1","8","1","2","6","3","1","1","1"
"4433","7","2","4","2","1","1","5","1","4","7","2","7","2","4","2","1","1","3","3","5","4","3","1","1"
"4434","5","2","3","2","1","5","5","1","3","3","1","4","1","3","3","2","8","4","4","5","5","3","2","5"
"4435","5","1","4","2","1","1","1","1","2","4","2","4","2","5","2","1","2","3","2","7","2","3","1","1"
"4436","7","2","4","2","1","6","3","1","1","3","2","7","2","3","2","1","8","6","4","7","3","6","2","1"
"4438","7","1","2","2","1","5","5","1","2","5","2","4","2","4","4","1","8","4","1","5","4","4","1","1"
"4439","7","1","3","2","1","7","5","1","1","4","2","7","2","1","1","1","1","7","2","7","2","5","1","1"
"4440","7","1","4","1","1","3","7","1","3","7","2","7","2","2","1","1","8","3","3","7","3","5","1","1"
"4441","7","1","4","2","1","1","7","1","1","7","2","7","2","6","1","2","8","1","1","1","5","3","1","1"
"4442","5","2","4","2","1","1","4","1","1","4","2","6","2","3","1","1","8","1","2","5","3","1","2","1"
"4443","5","2","2","2","2","1","4","1","1","5","2","3","2","4","3","2","8","1","2","7","5","3","1","1"
"4444","6","2","4","2","1","3","4","1","2","4","2","6","2","3","4","2","8","3","2","6","2","3","1","1"
"4445","4","1","3","2","1","1","5","1","3","6","1","4","2","5","3","1","8","2","3","5","3","6","1","1"
