,prosocial,Friends_2,MediaExp_3,COVIDeffect_3,DemGen,quota_age,Personal_1,Trustingroups_5,GenSocTrust,FinitePool_4,COVIDeffect_4,COVIDexp,DemEdu,DemHealthcare,Ethnicmin,FinitePool_1,FinitePool_5,Friends_7,KnowledgeCert_2,Longitude_2,Longitude_3,MediaExp_5,MediaExp_7,Personal_5,Personal_7,SARS,Trustingroups_2,Trustingroups_4,Vaccine_2,Longitude_1,Vaccine_1,Soughtinfo,COVIDeffect_2,Trustingroups_3,Friends_1,MediaExp_2
1170,7,6,1,6,1,5,2,3,6,5,1,8,3,2,2,6,5,1,3,1,1,1,1,1,1,2,4,5,1,4,1,1,5,3,1,2
1171,7,4,1,1,2,4,2,3,6,1,1,8,2,2,2,5,1,1,5,2,1,1,1,1,1,2,4,3,1,4,1,2,1,4,2,2
1172,4,3,1,1,2,5,2,2,3,1,1,8,3,2,2,1,1,2,4,2,1,1,1,2,2,2,3,3,2,3,2,1,1,3,2,1
1173,5,5,1,4,2,1,3,4,6,2,1,2,2,2,2,7,5,2,6,3,1,1,1,4,2,2,4,4,1,5,1,1,5,4,3,1
1174,6,3,1,1,2,3,1,4,5,1,1,8,4,2,2,7,3,1,3,3,1,1,2,1,1,2,3,4,1,4,1,1,6,5,2,2
1175,4,7,1,5,1,5,2,2,4,2,1,8,3,2,2,6,7,1,4,4,3,2,1,5,1,2,3,3,1,7,1,1,6,4,6,2
1176,5,7,1,7,2,3,5,3,4,1,2,2,4,2,1,7,7,1,5,2,1,2,2,6,2,2,2,3,1,7,1,1,2,2,4,2
1177,5,2,1,4,1,4,2,3,5,5,1,8,2,2,2,5,5,3,5,3,2,1,1,4,2,2,3,4,1,6,2,1,5,3,2,1
1178,7,7,1,1,1,5,1,2,5,1,1,8,4,2,2,7,4,1,5,1,1,2,1,2,1,2,4,3,1,4,1,2,2,4,4,1
1179,6,3,1,5,1,5,2,3,5,4,1,8,1,2,2,3,2,1,3,3,2,1,2,2,1,2,3,3,1,4,2,1,7,4,2,2
1180,5,1,1,1,2,5,4,1,5,1,1,8,4,2,2,5,1,1,4,2,1,2,1,2,1,2,4,4,1,5,1,2,5,4,3,1
1181,5,4,1,1,2,4,2,2,2,5,1,2,3,2,2,3,3,5,7,1,1,1,2,2,2,2,4,2,1,5,1,2,3,4,3,2
1182,6,5,1,2,1,4,5,1,3,7,1,8,2,2,2,7,6,6,4,4,3,1,1,6,7,2,3,4,1,7,1,2,3,3,5,1
1183,5,5,1,2,2,6,3,3,3,5,1,8,4,2,2,3,2,2,3,5,2,2,1,4,2,2,3,3,1,6,1,1,5,4,2,2
1184,3,2,1,1,1,5,6,2,5,7,1,8,4,1,2,2,3,6,6,1,1,1,2,7,7,2,3,2,1,4,2,2,2,4,5,1
1185,6,7,1,4,1,5,4,2,4,4,1,8,2,2,2,4,6,2,4,2,2,2,2,2,1,2,4,5,1,4,1,1,2,5,2,1
1186,5,3,1,1,1,3,2,2,3,4,1,8,1,2,2,6,5,1,5,5,4,2,1,2,1,2,3,4,1,6,1,1,2,4,3,1
1187,2,7,1,7,1,4,5,3,1,1,1,9,2,1,1,4,7,4,3,7,4,1,1,7,4,2,4,5,1,7,1,1,5,3,5,1
1188,4,4,1,4,1,2,2,3,3,3,6,8,3,1,2,5,3,6,3,1,1,1,1,5,5,2,3,3,1,6,1,1,6,3,6,1
1189,4,7,1,4,2,5,2,1,5,6,1,8,3,2,1,7,7,5,5,3,2,2,2,5,6,2,3,2,1,6,1,1,5,4,3,1
1190,6,6,1,2,1,5,1,2,1,1,1,8,4,2,1,7,7,1,5,5,4,2,1,6,1,2,3,3,2,6,2,1,6,3,1,1
1191,7,7,1,2,2,3,4,2,1,1,1,8,4,2,1,5,7,2,3,4,3,1,1,5,2,2,2,3,1,6,1,1,6,1,5,1
1192,6,5,1,1,1,6,3,2,4,6,1,8,3,2,2,7,1,6,3,2,1,2,1,4,3,2,3,3,1,5,1,2,2,3,6,2
1193,5,6,1,1,2,1,1,3,6,1,1,8,4,2,2,7,4,5,3,3,1,2,2,5,3,2,4,5,1,5,2,1,2,3,5,1
1194,6,5,1,3,1,6,2,4,5,6,1,8,2,2,2,5,1,1,6,3,1,2,1,1,1,2,5,5,1,6,1,1,5,5,2,1
1195,7,6,1,6,1,4,2,4,7,2,1,8,3,2,1,7,6,1,3,5,2,1,1,1,1,2,4,4,1,7,1,1,3,4,4,2
1196,2,1,1,1,2,6,1,3,1,6,1,8,5,2,2,1,1,1,7,1,1,2,2,1,1,2,3,3,1,1,2,2,1,3,1,2
1197,7,6,1,1,1,5,2,3,6,1,1,8,9,1,1,7,5,1,5,3,2,1,1,2,1,2,4,3,1,4,1,2,1,4,2,1
1198,6,4,1,4,1,5,3,2,6,1,1,8,5,2,2,6,5,1,5,1,1,2,1,1,1,2,3,4,2,5,1,1,7,5,3,2
1199,4,4,1,1,1,5,7,1,1,1,1,8,4,2,1,7,1,1,4,7,7,1,1,7,1,2,1,3,1,7,1,2,1,1,7,1
1200,6,6,1,1,2,6,5,2,3,5,1,8,4,2,2,6,3,6,6,6,5,2,1,3,4,2,4,2,1,6,1,1,1,3,5,2
1201,5,5,2,6,2,3,5,1,4,4,3,8,3,2,2,4,5,4,4,3,2,2,1,4,4,2,2,3,1,5,1,1,3,3,5,1
1202,5,4,1,2,2,1,1,2,2,3,1,8,3,2,1,2,3,2,2,1,1,1,1,2,1,2,3,3,1,3,1,2,5,4,2,1
1203,5,6,1,3,2,5,2,4,6,2,1,8,9,2,2,2,3,2,4,3,2,2,1,3,2,2,4,4,1,5,1,1,4,4,2,2
1204,5,5,1,2,2,4,2,3,3,1,1,8,3,2,2,5,2,1,6,1,1,2,2,1,1,2,3,3,1,5,1,1,1,3,2,1
1205,6,5,1,2,2,5,2,3,4,2,1,8,3,2,2,5,2,2,5,3,3,1,1,3,2,2,3,3,1,6,1,1,6,3,2,1
1206,5,4,1,5,1,5,2,2,2,2,1,8,1,2,2,5,6,2,3,5,3,2,1,2,2,2,3,3,1,6,1,1,4,3,4,1
1207,3,5,1,5,2,4,2,2,2,1,1,8,4,2,1,2,4,1,6,3,1,1,1,2,1,2,3,3,1,6,1,1,3,4,3,1
1208,7,5,1,2,1,5,1,5,7,1,1,8,4,1,2,7,1,1,7,2,1,2,1,2,1,2,5,5,1,4,1,1,2,5,1,1
1209,5,2,1,2,1,4,2,4,6,4,1,8,5,2,2,7,3,1,3,4,1,1,1,1,1,2,4,4,1,6,1,2,5,4,2,1
1210,6,6,1,5,1,6,4,1,4,4,1,9,1,2,2,5,6,4,6,3,2,1,1,5,4,2,2,3,1,4,1,1,6,3,4,1
1211,6,6,1,3,2,4,2,2,2,1,5,8,4,2,2,7,6,1,7,3,1,2,1,4,1,2,2,2,1,6,1,1,1,3,3,1
1212,6,3,1,3,2,4,2,3,5,4,1,9,3,2,2,2,2,2,3,1,1,1,1,3,1,2,4,3,1,3,1,1,2,5,2,1
1213,7,3,1,1,1,6,4,3,6,4,1,8,3,2,2,7,1,1,5,2,2,2,1,1,1,2,5,4,1,2,1,1,4,3,1,1
1214,7,4,1,5,1,4,1,4,4,1,1,8,4,2,2,1,3,1,7,1,1,2,2,2,1,2,4,4,1,5,1,2,3,4,1,1
1215,6,5,1,5,2,3,3,3,5,5,1,8,3,2,2,6,5,2,3,3,1,1,1,2,1,2,4,4,1,4,1,1,7,4,1,1
1216,7,3,1,6,1,3,2,4,5,1,1,9,5,1,2,7,6,1,5,4,1,1,1,1,1,2,4,5,1,6,1,1,6,3,3,1
1217,6,3,1,5,1,6,4,3,4,2,1,9,4,2,2,6,2,1,5,2,1,2,1,6,2,2,4,4,1,5,1,1,6,4,3,1
1218,3,7,1,7,1,3,1,4,6,5,1,8,2,2,2,1,1,1,3,1,1,2,1,6,1,2,4,4,1,1,1,1,5,4,1,1
1219,6,6,1,7,1,5,4,3,4,2,1,8,2,2,2,3,7,4,5,2,1,2,1,4,5,1,3,4,1,4,1,1,6,2,6,1
1220,5,2,1,1,2,5,3,4,7,3,1,8,4,2,2,3,3,2,5,1,1,2,2,2,1,2,4,4,1,1,1,2,3,4,2,2
1221,5,3,1,1,2,3,3,3,5,3,1,8,4,2,2,7,5,3,5,4,3,1,1,4,3,2,4,3,1,4,2,1,2,3,3,1
1222,6,4,1,3,1,6,2,3,6,2,1,8,4,2,2,4,3,2,4,5,2,2,1,2,1,2,4,3,1,6,1,2,4,4,2,1
1223,6,3,1,2,1,5,2,3,5,2,1,8,5,2,1,6,2,2,7,4,2,1,1,2,1,2,4,4,1,6,1,1,2,4,2,2
1224,4,3,1,1,2,6,2,1,6,5,1,8,1,2,2,5,2,1,2,6,5,2,1,1,1,2,4,3,1,7,1,1,1,5,1,1
1225,6,2,1,4,1,4,1,3,3,2,1,8,3,2,2,6,3,1,5,3,1,2,1,1,1,2,4,3,1,5,1,1,1,4,1,1
1226,6,3,1,5,1,5,4,3,6,2,1,8,3,2,2,4,4,1,4,4,3,1,1,4,4,2,4,3,1,5,1,1,5,4,3,1
1227,4,7,1,1,1,5,6,1,1,6,7,8,1,2,2,7,6,6,6,7,2,2,1,4,4,2,1,3,1,7,1,1,2,4,6,2
1228,7,3,1,2,1,6,1,2,4,6,1,8,2,2,2,6,5,1,5,5,4,2,1,1,1,2,4,3,1,6,1,1,6,4,1,2
1229,6,6,1,4,1,6,4,3,5,6,1,8,4,2,2,7,5,3,6,5,4,2,1,4,3,2,3,3,1,6,1,1,5,3,4,2
1230,5,4,1,1,2,5,3,3,5,1,1,8,2,2,2,5,3,1,3,4,3,1,1,2,1,2,4,4,1,5,1,2,2,4,4,1
1231,7,7,1,1,1,5,1,2,5,7,1,8,3,2,2,7,1,1,2,4,2,1,2,1,1,2,4,4,1,7,1,1,1,4,3,1
1232,4,6,1,2,2,4,5,3,5,4,1,9,2,2,2,5,3,4,5,6,6,2,1,2,4,2,4,3,2,7,2,2,4,4,4,1
1233,6,6,1,6,2,2,4,2,3,5,1,8,4,2,1,6,7,4,5,4,2,1,1,5,4,1,3,3,2,7,2,1,3,3,6,1
1234,5,6,1,2,1,4,3,3,2,2,2,8,2,2,2,5,2,1,6,7,7,2,1,3,1,2,3,3,1,7,1,1,5,3,3,1
1235,5,1,1,2,1,3,2,3,5,5,1,8,3,2,2,5,3,1,5,3,1,2,2,2,1,2,4,4,1,5,1,2,1,2,1,2
1236,5,1,1,1,1,5,2,2,3,3,1,8,2,2,2,1,3,2,5,1,1,2,1,2,1,2,3,3,1,4,2,1,4,3,2,2
1237,7,6,1,2,2,3,5,4,6,1,6,8,5,2,2,7,6,1,3,3,1,1,1,5,1,2,4,4,1,5,1,1,5,4,4,1
1238,6,7,1,7,2,2,4,2,4,3,1,2,5,2,1,6,7,5,4,6,5,2,1,5,5,2,2,3,1,7,2,1,6,4,4,1
1239,6,3,1,1,2,5,4,3,4,4,1,8,3,2,2,5,6,3,1,6,5,1,1,4,3,2,3,3,1,6,1,2,1,4,3,1
1240,6,6,1,1,1,4,4,4,7,2,1,8,3,2,2,6,2,1,7,1,1,1,2,2,1,2,5,5,1,2,2,1,1,5,2,1
1241,4,3,1,5,2,1,5,4,5,3,5,2,4,2,1,6,3,4,4,5,3,2,2,4,5,2,3,2,1,4,1,1,3,4,4,2
1242,5,5,1,2,2,4,3,2,3,6,1,8,2,2,2,4,5,4,5,3,1,1,1,4,4,2,3,3,1,6,1,1,2,3,3,2
1243,5,4,1,4,1,5,5,3,5,3,1,8,4,2,2,5,2,2,5,1,1,2,1,3,2,2,5,4,1,5,2,1,3,5,3,1
1244,5,4,1,6,2,4,3,4,2,4,1,3,5,2,1,7,5,2,6,3,1,1,1,5,2,2,2,4,1,6,2,2,2,3,4,1
1245,6,2,1,1,2,6,2,5,7,2,1,8,3,2,2,5,1,2,5,2,1,1,2,1,1,2,5,5,1,4,1,2,5,5,2,2
1246,6,6,1,2,1,4,2,4,4,2,1,8,4,2,2,6,2,2,7,4,2,2,1,1,1,2,5,4,1,5,1,1,5,3,2,1
1247,5,5,1,5,1,4,5,1,1,3,1,2,4,2,2,2,7,1,7,3,2,2,2,2,1,2,4,3,1,6,2,1,6,3,5,1
1248,5,1,2,1,2,5,2,2,4,3,1,8,2,2,2,1,1,4,3,1,1,1,2,2,3,2,3,3,1,1,2,2,2,2,2,1
1249,5,7,1,1,2,4,2,4,5,2,1,8,3,2,2,5,6,1,5,4,2,1,1,2,1,2,4,4,2,5,1,1,1,4,3,1
1250,5,4,1,3,2,2,1,3,5,3,1,2,5,2,2,4,6,1,3,5,2,1,1,1,1,2,4,3,1,6,2,1,1,4,4,1
1251,6,4,1,5,1,6,3,3,5,5,1,8,2,2,2,4,3,4,3,3,2,2,1,5,4,2,4,3,1,5,1,1,5,4,4,1
1252,7,5,1,5,1,6,3,3,6,4,1,8,2,1,2,4,4,4,3,6,5,2,1,1,1,2,4,3,1,7,1,1,7,5,4,1
1253,7,2,1,1,2,6,3,3,3,4,1,8,2,2,2,2,3,3,3,3,1,1,1,5,3,2,3,3,2,3,2,2,2,4,3,2
1254,4,3,1,1,1,5,4,3,5,6,1,8,3,2,2,5,5,4,5,4,3,1,1,1,2,2,4,2,2,5,2,1,5,5,4,1
1255,5,2,1,1,2,6,1,4,6,2,1,8,4,2,2,6,5,1,4,3,2,2,1,1,1,2,5,5,1,4,1,2,1,5,1,2
1256,5,5,1,1,1,4,2,3,5,3,1,3,1,2,2,7,5,1,3,5,3,2,1,1,1,2,4,4,1,7,1,2,5,4,2,1
1257,6,5,1,2,1,1,4,4,6,2,1,9,4,2,1,7,5,2,5,4,1,2,1,4,2,2,3,4,2,6,2,1,1,4,4,1
1258,6,7,1,6,1,3,6,3,4,3,1,8,5,2,2,3,5,2,5,2,1,1,1,5,2,2,3,3,1,3,1,1,7,5,5,1
1259,7,2,1,1,2,5,5,1,1,4,1,8,4,2,2,5,2,1,5,4,1,2,1,3,1,2,2,3,1,6,1,2,3,3,2,2
1260,6,3,1,2,2,5,3,3,6,2,1,8,3,2,2,3,2,2,5,3,1,2,1,2,1,2,4,3,1,7,1,1,2,5,3,2
1261,5,5,1,1,1,5,3,2,1,5,1,8,2,2,2,5,3,3,7,1,1,1,1,3,2,2,3,4,1,4,1,1,5,4,3,1
1262,4,5,1,1,2,4,4,1,1,7,1,8,2,2,2,3,3,7,3,2,1,2,1,4,6,2,2,2,1,3,1,1,1,3,4,2
1263,6,6,1,6,1,5,4,3,4,5,1,8,4,2,2,4,5,4,7,3,2,2,1,2,2,2,4,3,1,6,1,1,7,3,4,1
1264,7,7,1,5,1,3,4,3,5,2,1,8,5,2,2,7,6,1,6,6,5,1,1,4,2,2,3,3,1,7,1,1,4,3,4,1
1265,7,6,1,5,1,5,3,3,6,2,1,8,3,2,2,5,7,3,4,5,3,1,1,2,2,2,4,4,2,7,2,1,2,4,5,2
1266,6,5,1,1,2,5,5,3,5,6,2,8,1,2,2,5,5,4,3,3,1,2,1,4,4,2,3,3,1,4,2,2,4,3,5,1
1267,7,3,1,2,1,6,2,2,4,1,1,8,2,2,2,2,5,1,6,1,1,1,1,1,1,2,4,4,1,2,2,1,3,4,1,2
1268,4,6,1,1,1,5,4,3,3,2,1,8,1,2,1,6,6,1,7,3,2,2,1,2,2,2,3,3,1,6,1,2,2,2,4,1
1269,7,6,1,1,1,5,3,3,5,2,5,9,4,2,2,7,4,2,2,4,2,2,1,3,1,2,3,4,1,5,1,1,5,4,2,2
1270,6,5,1,2,1,3,1,3,3,4,1,8,3,2,2,5,4,1,6,2,1,1,1,1,1,2,3,3,1,4,1,1,5,3,1,1
1271,6,5,1,3,1,2,4,3,4,4,1,8,3,2,4,7,7,3,7,5,4,2,1,4,3,2,3,3,1,6,2,2,2,3,4,1
1272,3,2,1,1,1,3,1,1,3,4,1,8,4,2,1,5,4,1,3,2,2,1,1,1,1,2,3,2,1,4,1,1,2,3,1,1
1273,6,5,1,1,2,5,4,3,4,4,1,8,2,2,2,4,1,4,3,2,1,2,1,4,5,2,4,3,1,3,1,1,2,3,4,2
1275,5,3,2,1,2,3,2,3,6,3,1,8,2,2,2,4,3,3,3,4,1,2,2,2,3,2,3,3,1,6,1,1,1,3,3,2
1276,4,2,1,4,1,6,3,3,4,6,1,8,1,2,2,6,1,2,7,1,1,2,1,3,3,2,4,3,1,3,1,1,3,3,3,1
1277,5,7,1,6,1,5,4,1,1,7,1,8,3,2,2,7,7,7,1,3,1,2,2,7,7,2,3,3,1,7,1,1,7,4,7,1
1278,6,3,1,1,2,5,3,4,6,2,1,3,5,2,2,6,4,1,3,5,4,1,1,2,1,2,4,4,1,6,1,1,5,4,2,1
1279,7,7,1,5,1,3,3,2,6,1,3,8,4,2,2,5,5,1,5,7,7,1,1,2,1,2,3,5,1,7,1,1,1,3,3,1
1280,7,5,1,1,1,6,2,3,5,3,1,8,1,2,2,6,6,1,5,2,1,2,1,1,1,2,4,3,1,5,1,1,5,4,1,2
1281,7,1,1,7,1,5,2,3,4,1,1,8,5,2,2,6,7,1,7,2,1,1,1,6,1,2,3,5,1,6,1,1,7,4,3,1
1282,6,3,1,6,1,1,3,2,3,1,1,8,3,2,1,5,6,3,3,4,2,1,1,4,1,2,3,4,1,7,2,1,6,2,3,1
1283,2,5,1,2,1,5,2,3,3,5,1,8,4,2,2,6,6,2,5,3,2,1,1,2,1,2,3,3,1,5,1,1,6,4,2,2
1284,5,7,1,6,1,5,2,3,6,3,2,8,5,2,2,6,6,1,6,4,2,1,1,2,1,2,4,4,1,5,1,1,6,4,2,1
1285,6,7,1,6,1,6,3,2,2,1,1,9,4,2,2,4,6,1,6,3,1,2,1,2,1,2,5,3,1,5,1,1,5,3,2,1
1286,3,7,1,2,1,4,4,3,2,4,1,8,2,2,1,7,4,1,4,5,3,2,1,3,1,2,4,3,1,6,1,1,6,4,3,1
1287,5,3,1,1,1,5,3,2,4,2,1,8,5,2,2,6,2,2,4,3,2,2,1,2,2,2,3,3,1,5,1,1,4,3,3,2
1288,7,7,1,2,1,5,7,2,4,3,1,8,4,2,2,7,7,2,5,5,3,2,1,2,2,2,4,5,1,7,1,1,1,4,6,1
1289,5,5,1,5,4,2,3,3,5,2,1,9,4,2,4,5,2,2,4,4,2,1,1,2,1,2,3,3,1,5,1,1,5,3,3,1
1290,6,6,1,2,1,5,3,3,4,5,1,8,2,2,2,4,3,3,7,1,1,2,1,6,2,2,4,3,1,3,1,1,1,3,5,1
1291,5,2,1,7,2,5,5,3,4,1,1,8,9,2,2,7,7,1,7,5,2,2,1,3,1,2,3,3,1,6,1,1,7,3,2,1
1292,7,5,1,6,1,6,1,3,4,5,1,8,4,2,2,7,3,2,7,3,1,1,1,1,1,2,4,4,1,5,1,1,7,5,2,2
1293,6,3,1,1,1,6,2,3,5,4,1,8,1,2,2,5,5,2,5,6,5,2,1,2,2,2,4,3,1,6,1,1,2,4,3,1
1294,5,4,1,1,1,3,3,3,5,4,4,8,4,2,2,6,3,1,3,4,1,1,2,1,1,2,4,3,1,6,1,1,1,4,2,2
1295,3,4,1,1,1,6,1,2,5,5,1,8,3,1,1,7,4,1,6,3,1,2,2,1,1,2,3,3,2,5,2,1,5,3,1,1
1296,6,6,1,2,1,5,3,2,5,6,1,8,2,2,2,5,4,1,5,4,1,2,1,2,1,2,4,4,1,5,2,1,1,4,4,1
1297,5,6,1,4,2,5,4,1,3,2,1,8,4,2,2,6,6,1,3,4,2,2,1,4,1,2,4,4,1,7,1,1,1,3,4,2
1298,5,3,1,4,2,6,3,2,2,5,1,8,4,2,2,3,5,2,6,1,1,2,1,2,2,2,3,3,1,2,1,2,6,3,3,1
1299,7,7,1,7,1,3,1,4,5,2,1,3,4,2,2,6,4,1,6,5,1,2,1,6,1,2,4,4,1,7,1,1,5,4,1,1
1300,5,5,1,5,2,2,5,2,2,5,2,8,4,2,1,3,5,2,5,4,2,1,1,3,2,2,2,3,1,7,1,1,2,4,5,1
1301,6,7,1,7,1,6,5,3,5,2,1,8,1,2,2,5,4,2,4,3,1,2,1,4,4,2,3,3,1,5,1,1,4,3,5,1
1302,6,5,1,1,2,5,5,3,5,6,1,8,3,2,2,5,7,4,5,3,2,2,1,4,6,2,4,3,1,7,1,2,5,2,4,2
1303,4,6,1,1,1,4,1,1,1,3,1,8,3,2,4,7,5,2,5,7,5,1,2,1,3,2,1,2,1,7,1,2,1,3,1,1
1304,6,5,1,1,2,5,4,2,2,2,1,8,3,1,2,7,2,2,3,2,1,1,1,2,1,2,2,4,1,2,1,2,1,3,2,2
1305,6,5,1,3,2,4,2,3,5,5,1,8,4,2,2,3,6,2,4,4,2,2,1,4,2,2,4,3,1,5,1,1,6,4,2,1
1306,5,2,1,1,2,5,2,3,4,7,1,8,4,2,2,1,2,7,7,1,1,2,2,2,7,2,3,3,1,2,1,2,4,3,2,2
1307,7,7,1,1,1,5,6,4,6,3,1,9,4,2,2,7,1,1,4,3,1,1,1,6,6,2,4,4,1,7,1,1,6,4,4,1
1308,4,2,1,2,2,4,1,3,5,1,1,8,4,2,2,2,3,1,4,1,1,1,1,1,1,2,3,3,1,2,1,1,5,4,1,1
1309,6,5,1,5,1,5,2,3,5,1,1,8,5,2,1,5,3,3,5,1,1,2,1,6,1,2,4,4,1,3,1,1,4,4,3,1
1310,6,7,1,3,1,3,5,2,5,1,1,8,4,2,1,2,7,1,4,2,1,1,1,3,1,2,4,3,1,6,1,1,3,3,6,1
1311,3,4,1,6,1,5,2,2,2,5,1,8,1,2,2,5,6,2,5,5,1,2,1,1,2,2,4,3,1,3,1,1,4,3,2,1
1312,7,7,1,7,2,4,6,2,4,1,7,2,5,2,2,6,7,1,2,5,3,1,1,4,1,2,3,3,1,6,1,1,7,4,5,1
1313,7,5,1,1,2,5,2,1,1,7,1,8,2,2,2,5,3,4,5,7,5,2,2,1,2,2,2,3,1,7,1,2,7,3,4,2
1314,3,1,1,1,1,6,1,3,6,4,1,8,1,2,2,6,1,1,3,4,3,2,1,1,1,2,4,3,1,5,1,2,1,3,1,2
1315,3,1,1,1,1,4,2,3,5,1,1,8,4,2,1,5,5,1,5,2,1,2,1,1,1,2,3,3,1,2,1,2,1,3,2,1
1316,7,3,1,5,2,5,5,4,5,1,1,8,4,2,2,7,7,1,6,2,1,2,1,5,1,2,4,5,1,5,1,1,6,4,5,1
1317,7,6,1,2,1,6,2,4,6,2,1,8,5,2,2,6,2,3,7,5,2,2,1,2,2,2,4,4,1,6,1,1,3,4,3,1
1318,6,4,1,6,2,5,4,2,3,2,1,8,5,2,2,7,3,2,3,1,1,2,1,4,2,2,4,4,1,3,1,1,5,3,4,1
1319,6,5,1,1,2,6,2,1,5,2,1,8,3,2,2,5,1,1,3,5,3,2,1,1,1,2,3,4,1,5,1,1,1,3,2,1
1320,6,4,1,5,2,6,2,3,6,1,1,9,4,2,2,7,3,1,5,3,3,2,1,3,1,2,4,3,1,5,1,1,4,3,3,1
1321,5,4,1,1,1,5,3,3,5,3,1,9,4,2,2,7,5,1,6,5,1,2,1,1,1,2,4,4,1,6,1,1,5,4,3,2
1322,4,2,1,3,2,5,5,1,2,3,1,8,2,2,2,4,1,3,5,1,1,1,1,4,3,2,3,2,1,5,1,1,6,2,5,2
1323,5,5,1,5,2,6,6,2,5,5,1,8,4,2,2,2,6,4,3,5,2,1,1,1,5,2,3,4,1,7,1,1,5,3,6,1
1324,6,2,1,1,2,5,2,3,6,3,1,8,5,1,2,5,1,2,6,5,2,1,1,2,1,1,4,3,1,6,1,1,2,5,2,1
1325,5,5,1,5,1,1,1,3,5,5,1,9,3,2,2,7,5,1,3,2,1,1,1,4,1,1,4,4,1,5,1,1,7,4,1,1
1326,6,7,1,3,2,6,6,2,5,5,1,8,5,2,1,3,4,5,6,3,1,2,1,5,5,2,2,3,2,4,2,2,5,3,6,2
1327,5,6,1,1,2,4,6,2,5,5,1,8,4,2,1,3,6,4,4,1,1,1,2,5,4,2,3,3,1,1,1,2,1,3,5,2
1328,5,5,1,4,1,5,2,3,4,4,1,8,3,2,2,6,3,2,3,1,1,1,1,2,2,2,3,3,1,4,1,1,5,4,2,1
1329,6,7,1,6,1,3,4,3,4,4,1,8,4,2,1,5,7,4,5,2,1,1,2,3,4,2,4,3,1,3,2,1,5,4,5,1
1330,6,4,1,1,2,5,2,3,5,2,1,8,4,2,2,5,5,1,6,2,1,1,2,2,1,2,3,3,1,2,1,1,4,4,2,1
1331,5,5,1,1,1,5,3,3,4,1,1,8,2,2,2,7,3,1,4,4,2,2,2,3,1,2,3,5,1,7,1,2,1,3,3,1
1332,5,2,1,2,2,5,4,3,5,3,1,8,5,2,2,4,6,1,2,3,2,2,1,3,1,2,4,4,1,4,2,1,1,4,4,1
1333,7,3,1,1,1,6,2,3,6,4,1,8,4,2,2,7,1,2,5,2,1,2,1,2,1,2,5,5,1,5,1,1,3,5,3,1
1334,4,4,1,2,2,2,1,3,5,5,1,8,4,2,2,2,6,2,5,2,1,2,1,4,2,2,3,3,1,5,2,1,6,4,1,1
1335,7,7,1,4,1,6,2,4,6,2,1,8,4,2,2,7,6,2,5,7,6,2,1,2,1,2,4,4,1,7,1,1,4,5,2,1
1336,5,4,1,3,1,6,3,3,6,4,1,8,3,2,2,5,3,2,5,5,5,2,1,2,3,2,4,4,1,6,1,2,5,4,3,2
1337,7,3,1,2,2,5,2,3,5,2,1,8,4,2,1,6,5,1,5,3,2,1,1,2,2,2,4,4,1,5,1,1,3,4,2,1
1338,6,7,1,7,1,4,5,3,4,2,2,9,3,1,2,6,4,2,6,4,2,1,1,4,1,2,3,3,2,6,2,1,6,3,7,1
1339,7,6,1,4,2,6,2,3,2,5,1,8,4,2,2,7,6,2,5,3,1,2,1,2,2,2,4,5,1,7,1,2,1,5,2,2
1340,5,5,1,2,2,5,4,2,5,2,1,8,1,2,2,5,1,2,5,3,2,2,2,2,2,2,4,3,1,4,1,1,3,5,3,2
1341,6,5,1,2,1,6,2,4,5,5,7,8,1,2,2,7,5,5,7,5,4,2,2,3,3,2,3,4,1,6,1,1,4,3,3,2
1342,6,4,1,1,2,6,3,2,3,5,1,8,2,2,1,6,3,2,4,4,2,1,1,3,3,2,3,4,1,6,1,2,1,3,2,1
1343,7,7,1,2,1,6,5,3,4,7,1,8,5,2,2,4,1,4,7,7,6,2,1,4,4,2,4,3,1,7,1,1,2,4,5,1
1344,5,4,1,1,1,5,3,1,3,5,1,8,1,2,2,5,4,2,3,5,3,1,1,2,1,2,4,3,1,7,1,1,1,3,3,1
1345,3,5,2,5,2,1,2,2,3,5,3,2,4,2,2,3,5,5,5,3,5,2,2,3,5,2,4,4,1,2,1,1,2,4,4,2
1346,7,7,1,1,2,5,5,1,3,7,1,8,4,2,2,1,7,7,5,1,1,2,1,7,7,2,2,3,2,1,2,1,1,4,7,1
1347,3,7,1,7,2,5,7,1,1,4,1,3,2,2,1,2,6,7,6,2,1,1,1,7,7,2,2,3,2,5,2,2,7,3,7,2
1348,5,3,1,3,2,5,3,3,5,1,1,8,9,2,2,5,1,1,5,1,1,2,2,2,1,2,3,4,1,3,2,2,4,4,3,1
1349,5,5,1,7,3,2,2,2,2,1,1,9,4,2,2,6,3,1,3,2,1,2,1,6,1,2,3,4,1,5,2,1,7,4,2,1
1350,6,3,1,1,1,5,2,1,2,1,1,8,2,2,2,5,4,1,3,1,1,2,2,2,2,2,3,3,1,3,1,2,1,3,1,1
1351,6,6,1,1,2,5,1,2,6,2,1,8,4,2,2,7,4,1,3,1,1,1,1,3,2,2,3,4,1,5,1,1,1,3,4,1
1352,5,4,1,1,2,5,2,3,3,4,1,8,4,2,2,1,4,2,3,1,1,2,1,2,1,2,3,3,1,1,1,1,2,3,2,1
1353,5,7,1,2,1,6,2,1,3,4,2,8,3,2,2,4,5,2,3,6,6,2,1,2,2,2,3,3,2,7,2,2,3,3,2,1
