,prosocial,Friends_2,MediaExp_3,COVIDeffect_3,DemGen,quota_age,Personal_1,Trustingroups_5,GenSocTrust,FinitePool_4,COVIDeffect_4,COVIDexp,DemEdu,DemHealthcare,Ethnicmin,FinitePool_1,FinitePool_5,Friends_7,KnowledgeCert_2,Longitude_2,Longitude_3,MediaExp_5,MediaExp_7,Personal_5,Personal_7,SARS,Trustingroups_2,Trustingroups_4,Vaccine_2,Longitude_1,Vaccine_1,Soughtinfo,COVIDeffect_2,Trustingroups_3,Friends_1,MediaExp_2
42,5,5,1,5,1,2,4,2,3,4,2,8,5,2,2,2,5,3,3,3,2,1,1,2,3,2,3,3,1,5,2,1,5,3,4,1
43,7,3,1,1,1,3,5,2,2,5,1,8,3,2,2,7,6,3,3,1,1,2,1,4,4,2,4,4,1,7,1,2,1,3,5,2
44,6,6,1,1,2,3,4,2,5,5,2,8,5,2,2,4,6,4,3,4,2,1,1,5,4,2,4,1,1,6,1,1,4,3,4,1
45,5,4,1,1,1,3,3,2,3,3,1,8,3,2,2,7,7,6,3,2,1,2,2,5,3,2,2,3,2,3,2,2,3,3,5,1
46,6,7,2,3,1,4,3,4,4,1,7,3,4,2,2,4,7,1,7,2,1,1,1,6,1,2,4,4,1,6,2,2,4,3,2,1
47,6,1,2,1,1,5,2,3,6,3,1,8,5,2,2,5,7,2,4,5,4,1,1,2,2,2,4,4,1,5,2,1,2,4,1,2
48,7,4,1,2,2,4,1,1,6,7,1,8,1,2,2,1,3,1,6,5,4,2,1,1,2,2,5,3,1,7,1,1,7,5,2,1
49,7,7,1,1,2,5,3,5,7,6,1,8,3,2,2,7,7,2,5,5,1,1,1,3,2,2,5,5,1,7,1,2,7,5,3,1
50,6,4,1,4,1,3,4,1,3,5,1,8,5,2,2,7,6,1,4,1,1,1,1,5,1,2,3,5,1,5,1,1,4,3,5,1
51,4,7,1,1,1,4,1,1,3,7,1,8,1,2,2,5,7,6,6,1,1,2,1,2,6,2,2,4,1,7,1,2,7,3,6,1
52,7,5,1,5,1,3,4,1,4,3,1,8,4,2,2,4,7,3,3,4,1,2,2,5,4,2,3,3,1,7,1,2,5,3,5,1
53,3,5,2,7,1,3,4,1,3,7,1,8,1,2,2,7,7,7,3,7,3,2,2,3,7,2,2,2,1,7,1,2,7,2,7,1
54,7,4,1,1,2,6,4,3,5,4,1,8,3,2,2,2,6,4,3,4,2,1,1,4,4,2,4,3,1,7,1,2,1,4,4,2
55,6,3,1,1,2,4,5,2,4,7,1,8,5,2,2,3,4,5,4,7,4,2,1,1,5,2,4,3,1,7,1,1,3,5,4,2
56,4,4,1,1,1,3,5,3,2,5,1,8,5,2,2,5,5,4,5,4,2,2,1,5,4,2,3,3,1,5,1,2,5,3,5,2
57,5,6,1,1,2,3,5,3,2,5,1,8,4,2,2,5,7,3,2,4,3,1,1,5,4,2,3,3,1,5,1,1,7,4,4,2
58,6,3,1,1,1,4,3,3,4,4,1,8,2,2,2,4,4,2,4,4,3,1,1,3,2,2,3,3,1,5,1,1,5,3,3,1
59,5,5,1,5,1,3,4,3,5,6,3,8,9,2,2,6,6,5,3,4,2,1,1,3,4,2,3,3,1,6,1,1,5,3,5,1
60,7,2,1,1,2,3,1,1,3,1,7,8,5,2,2,1,6,1,7,3,1,2,1,3,1,2,2,3,1,5,1,2,4,3,1,2
61,7,6,1,1,1,4,3,2,4,2,7,9,3,2,2,6,2,4,5,5,3,1,1,5,3,2,3,4,1,7,1,2,3,4,4,1
63,6,6,1,3,1,5,3,3,5,4,1,8,5,2,2,7,5,2,4,5,2,2,1,3,2,2,4,5,1,6,1,1,4,4,3,2
64,7,1,1,4,1,4,4,3,3,7,1,8,1,2,2,1,7,1,3,6,4,2,1,1,1,2,3,3,1,7,1,1,1,3,1,1
65,5,4,1,1,1,4,2,3,4,7,1,8,2,2,2,3,5,2,6,1,1,1,1,2,2,2,4,3,1,4,1,1,7,4,2,1
66,7,2,1,1,2,6,3,3,4,3,1,8,1,2,2,5,3,2,2,4,3,2,2,3,2,2,3,4,1,4,1,1,1,4,3,2
67,6,2,1,1,2,3,2,2,2,3,1,8,4,2,2,5,5,2,2,2,1,1,1,4,2,2,2,3,1,6,1,1,1,2,3,1
68,6,6,1,1,2,3,4,4,6,5,3,1,5,2,2,4,6,6,4,1,1,1,1,6,5,2,4,3,1,4,1,1,6,3,5,1
69,5,5,1,1,2,5,7,2,2,1,1,8,3,2,2,2,1,4,3,4,2,2,1,7,6,2,2,3,1,7,1,1,4,2,3,2
70,6,6,1,7,1,2,3,3,4,2,3,8,3,2,2,4,7,2,3,1,1,2,1,4,3,2,4,5,1,4,1,1,7,4,3,1
71,7,4,1,1,1,5,4,3,6,4,1,8,9,2,2,5,5,4,4,3,2,1,1,4,4,2,4,3,1,4,1,1,2,5,4,1
72,7,5,1,2,2,5,2,2,3,4,6,8,3,2,2,4,5,1,3,5,1,2,1,1,1,2,3,3,1,7,2,1,5,4,1,2
73,7,6,1,4,2,3,4,1,3,6,2,3,3,2,2,6,1,5,5,3,1,2,1,2,5,2,2,3,1,6,1,1,6,2,3,1
74,7,4,1,1,1,5,1,1,3,7,1,8,3,2,2,7,7,1,4,1,1,2,2,1,1,2,3,3,1,4,1,2,2,3,1,2
75,3,3,2,5,2,4,5,3,3,4,1,2,3,2,1,2,5,2,6,1,1,1,1,5,2,2,3,4,2,3,2,1,7,3,4,1
76,7,5,1,4,2,3,4,1,1,4,1,2,3,2,2,5,7,5,4,4,2,1,1,6,4,2,3,3,1,6,1,1,6,3,5,1
77,7,5,1,2,1,6,2,2,2,7,1,8,3,2,2,5,7,2,4,6,5,2,1,2,2,2,3,4,1,6,1,1,3,4,2,1
78,6,2,2,1,1,2,3,3,6,3,1,8,9,2,2,5,4,2,3,3,1,2,1,4,2,2,3,3,2,5,2,1,3,3,4,2
79,5,6,1,2,2,4,5,1,5,5,1,8,3,2,2,6,5,4,2,4,2,2,1,5,5,2,2,3,1,6,1,1,6,3,5,1
81,6,6,2,6,2,3,5,1,2,5,5,8,4,2,2,6,6,6,2,3,1,2,2,6,5,2,2,1,1,4,2,1,7,2,6,1
82,7,6,1,4,2,5,6,2,2,7,1,8,2,2,4,6,7,7,2,5,2,1,1,6,7,2,4,1,1,7,1,1,6,4,4,1
83,6,5,1,3,2,3,5,3,3,6,1,9,5,2,2,7,7,6,5,3,1,1,1,6,3,2,3,3,1,7,1,1,6,3,5,2
84,6,2,1,1,2,5,2,2,6,2,2,8,9,2,2,6,6,4,7,6,5,2,1,5,2,2,3,2,1,7,1,1,1,4,3,1
85,5,5,2,1,2,3,6,3,3,7,3,9,5,2,2,7,7,7,5,4,2,1,2,6,7,2,3,3,1,6,2,1,7,3,7,1
86,7,7,1,6,2,4,4,2,2,3,5,8,5,2,1,7,7,2,2,3,1,1,1,6,2,2,2,3,1,6,1,1,6,2,3,1
87,7,4,1,1,2,4,5,3,5,1,1,9,3,2,2,7,5,3,2,1,1,1,1,4,3,2,5,4,1,5,1,1,4,4,4,1
88,6,2,1,2,2,5,2,2,4,6,1,9,5,2,2,6,6,2,2,7,7,2,1,2,1,2,2,3,1,7,1,1,5,3,2,1
89,7,6,1,1,1,4,4,1,1,5,7,8,3,2,2,5,5,6,6,3,1,1,1,2,4,2,2,1,1,7,1,1,4,2,4,1
90,6,7,1,3,1,3,6,1,3,6,4,8,5,2,2,6,6,6,3,5,3,2,1,4,1,2,4,2,2,6,2,1,7,2,6,2
91,7,3,1,6,1,3,1,2,3,7,1,8,3,2,2,4,4,1,4,7,1,2,1,3,1,2,4,3,1,7,1,2,3,3,1,2
92,1,7,2,1,1,3,4,1,1,7,1,8,3,2,2,7,7,5,7,1,1,2,2,5,4,2,1,1,2,1,2,2,1,1,3,1
93,7,1,1,2,1,6,1,2,5,5,2,8,2,2,2,5,2,1,2,2,1,2,1,1,1,2,5,3,2,6,2,2,2,4,1,2
94,7,5,1,2,2,5,4,4,7,3,1,8,5,2,2,5,7,4,4,4,3,1,1,4,4,2,4,4,1,6,1,1,2,4,4,1
95,4,4,1,4,1,2,3,1,1,4,1,8,3,2,2,4,6,4,6,7,5,2,1,3,4,2,4,3,1,7,1,1,5,3,5,1
96,7,6,1,1,2,2,2,3,5,1,1,8,4,2,2,4,4,2,4,2,1,1,1,2,1,2,3,3,1,4,1,1,1,3,3,1
97,6,4,1,2,1,3,2,3,3,1,1,8,3,2,2,2,6,2,5,3,2,2,2,4,2,2,3,3,2,5,2,1,4,3,2,2
98,6,4,1,3,1,6,3,3,5,3,1,8,5,2,2,7,6,3,6,6,5,2,1,2,2,2,4,3,1,7,1,1,5,4,3,1
