,OCC_CLS,PRIM_OCC,SEC_OCC,PROP_ADDR,SQFEET,CENSUSCODE,geometry
95,Unclassified,Unclassified,,3850 SOUTH WOLF CREEK,1878.991,21159950201,"POLYGON ((-82.4891506138192 37.7585080859056, -82.489164973389 37.7584421580841, -82.4894279318322 37.7584782593423, -82.4894135731607 37.7585441871317, -82.4891506138192 37.7585080859056))"
96,Residential,Unclassified,,11127 RIVER FRONT ROAD,2637.168,21159950300,"POLYGON ((-82.3204796976463 37.7640407320022, -82.3204415677557 37.7639334042598, -82.3206578820761 37.763884971689, -82.3206960119667 37.7639923002117, -82.3204796976463 37.7640407320022))"
97,Residential,Single Family Dwelling,,9191 RIVER FRONT ROAD,923.0039,21159950300,"POLYGON ((-82.3253743885591 37.7753495718378, -82.3253670223737 37.7754385929832, -82.3252688904121 37.7754334749838, -82.3252762565974 37.7753444559624, -82.3253743885591 37.7753495718378))"
98,Residential,Unclassified,,3829 SOUTH WOLF CREEK,4746.905,21159950300,"POLYGON ((-82.4883779782332 37.7583810198472, -82.4880769689512 37.7585014831122, -82.4880011053271 37.7583819921221, -82.4883021137108 37.758261530083, -82.4883779782332 37.7583810198472))"
99,Unclassified,Unclassified,,3829 SOUTH WOLF CREEK,1714.156,21159950300,"POLYGON ((-82.4880671566533 37.7583191649593, -82.4879053898336 37.7583863932814, -82.4878532803606 37.7583073577393, -82.4880150480786 37.7582401307658, -82.4880671566533 37.7583191649593))"
0,Residential,Single Family Dwelling,,3671 RIVER FRONT ROAD,3428.315,21159950100,"POLYGON ((-82.3916020819078 37.8135262826762, -82.3914641384094 37.8134312098487, -82.3916116327959 37.8132965197033, -82.3917495771927 37.8133915927043, -82.3916020819078 37.8135262826762))"
1,Residential,Single Family Dwelling,,185 MUDLICK ROAD,725.2158,21159950202,"POLYGON ((-82.5758288813107 37.7928903128733, -82.575971588575 37.7929374280808, -82.5759500002622 37.7929786079869, -82.5758072903028 37.7929314942255, -82.5758288813107 37.7928903128733))"
2,Residential,Manufactured Home,,9155 MEATHOUSE ROAD,1582.292,21159950300,"POLYGON ((-82.5019266047069 37.7048901161785, -82.5018599326448 37.7048183382671, -82.5019954488953 37.7047388809271, -82.5020621200591 37.7048106603369, -82.5019266047069 37.7048901161785))"
3,Residential,Manufactured Home,,2074 SOUTH WOLF CREEK,3790.911,21159950201,"POLYGON ((-82.476594863788 37.770969662878, -82.4765551699305 37.7707151331031, -82.4766945830727 37.7707014340524, -82.4767342769302 37.7709559638744, -82.476594863788 37.770969662878))"
4,Residential,Single Family Dwelling,,,791.1451,21159950202,"POLYGON ((-82.5684746318961 37.8135159760172, -82.5683898336282 37.8134573941692, -82.5684452156638 37.8134069388147, -82.5685300139317 37.8134655221222, -82.5684746318961 37.8135159760172))"
5,Residential,Single Family Dwelling,,204 LITTLE PETER CAVE ROAD,1977.882,21159950100,"POLYGON ((-82.4294853813188 37.8133479552013, -82.4295434825548 37.8134243330565, -82.4293629678951 37.8135107591709, -82.4293048666591 37.8134343806954, -82.4294853813188 37.8133479552013))"
6,Unclassified,Unclassified,,467 SOUTH WOLF CREEK,4285.386,21159950300,"POLYGON ((-82.4552986129418 37.7811741209728, -82.4553264140032 37.7810648159256, -82.4556844851704 37.781122185955, -82.455656684109 37.7812314923373, -82.4552986129418 37.7811741209728))"
7,Unclassified,Unclassified,,37 CUMBO ROAD,593.3669,21159950202,"POLYGON ((-82.5682596677435 37.8134072957835, -82.5683249339422 37.8134496650549, -82.5682715290986 37.8135014439307, -82.5682062611033 37.813459074689, -82.5682596677435 37.8134072957835))"
8,Residential,Unclassified,,284 PIGEON ROOST ROAD,3246.989,21159950300,"POLYGON ((-82.4447805015881 37.7811479010672, -82.4449052676996 37.7810272112829, -82.4449921608388 37.7810837960924, -82.4450188955999 37.7810579339899, -82.4450732041487 37.7810933000187, -82.4449217032761 37.7812398517431, -82.4447805015881 37.7811479010672))"
