caf,com
0,0
0,0
0,0
0.268518498,0
0.361111124,0
0.361189511,0.150903168
0.499999979,0.282882011
0.546296292,0.505802707
0.499999979,0.718568665
0.453703708,0.899419729
0.546296292,0.926499033
1,0.992746615
0.953703687,0.994680852
0.814814832,1
0.768518519,0.978723405
0.73148146,0.939071567
0.768518519,0.864119922
0.814814832,0.705996131
1,0.492263056
1,0.295454545
0.814814832,0.150870405
0.546296292,0
0.268518498,0
0.092592584,0
