,res,ind,com,rest
0,3514,1092,0,0
3600,3514,1092,0,0
7200,3514,1092,0,0
10800,3514,1092,0,0
14400,3514,1092,0,0
18000,3188,1092,314,12
21600,2902,1092,584,28
25200,2419,1092,1050,45
28800,1959,1092,1493,62
32400,1568,1092,1871,75
36000,1416,1092,2019,79
39600,1366,1092,2067,81
43200,1362,1092,2071,81
46800,1350,1092,2082,82
50400,1396,1092,2038,80
54000,1482,1092,1955,77
57600,1644,1092,1802,68
61200,1986,1092,1471,57
64800,2449,1092,1029,36
68400,2875,1092,621,18
72000,3187,1092,317,10
75600,3514,1092,0,0
79200,3514,1092,0,0
82800,3514,1092,0,0
86400,3514,1092,0,0
90000,3514,1092,0,0
93600,3514,1092,0,0
97200,3514,1092,0,0
100800,3514,1092,0,0
104400,3189,1092,312,13
108000,2905,1090,589,22
111600,2425,1090,1045,46
115200,1967,1090,1490,59
118800,1578,1090,1862,76
122400,1427,1090,2006,83
126000,1377,1090,2054,85
129600,1373,1090,2058,85
133200,1361,1090,2070,85
136800,1409,1088,2026,83
140400,1495,1088,1940,83
144000,1657,1088,1783,78
147600,1999,1088,1456,63
151200,2462,1088,1009,47
154800,2888,1088,604,26
158400,3200,1088,311,7
162000,3518,1088,0,0
165600,3514,1092,0,0
169200,3514,1092,0,0
172800,3514,1092,0,0
176400,3514,1092,0,0
180000,3514,1092,0,0
183600,3514,1092,0,0
187200,3514,1092,0,0
190800,3190,1092,318,6
194400,2907,1090,593,16
198000,2425,1090,1048,43
201600,1967,1090,1491,58
205200,1579,1090,1864,73
208800,1428,1090,2008,80
212400,1379,1090,2056,81
216000,1375,1090,2060,81
219600,1363,1090,2072,81
223200,1412,1087,2028,79
226800,1498,1087,1944,77
230400,1660,1087,1790,69
234000,2002,1087,1462,55
237600,2465,1087,1017,37
241200,2891,1087,605,23
244800,3203,1087,303,13
248400,3519,1087,0,0
252000,3516,1090,0,0
255600,3516,1090,0,0
259200,3516,1090,0,0
262800,3516,1090,0,0
266400,3516,1090,0,0
270000,3516,1090,0,0
273600,3516,1090,0,0
277200,3190,1090,316,10
280800,2904,1090,592,20
284400,2423,1090,1053,40
288000,1967,1090,1489,60
291600,1579,1090,1859,78
295200,1428,1090,2007,81
298800,1378,1090,2056,82
302400,1374,1090,2059,83
306000,1362,1090,2071,83
309600,1411,1087,2027,81
313200,1497,1087,1948,74
316800,1659,1087,1793,67
320400,2001,1087,1463,55
324000,2464,1087,1022,33
327600,2890,1087,613,16
331200,3202,1087,309,8
334800,3519,1087,0,0
338400,3516,1090,0,0
342000,3516,1090,0,0
345600,3516,1090,0,0
349200,3516,1090,0,0
352800,3516,1090,0,0
356400,3516,1090,0,0
360000,3516,1090,0,0
363600,3190,1090,313,13
367200,2915,1081,587,23
370800,2434,1081,1049,42
374400,1980,1081,1487,58
378000,1593,1081,1858,74
381600,1443,1081,2004,78
385200,1394,1081,2050,81
388800,1390,1081,2053,82
392400,1378,1081,2065,82
396000,1420,1085,2021,80
399600,1506,1085,1938,77
403200,1668,1085,1780,73
406800,2010,1085,1457,54
410400,2473,1085,1008,40
414000,2899,1085,598,24
417600,3211,1085,299,11
421200,3521,1085,0,0
424800,3520,1086,0,0
428400,3520,1086,0,0
432000,3520,1086,0,0
435600,3520,1086,0,0
439200,3520,1086,0,0
442800,3520,1086,0,0
446400,3520,1086,0,0
450000,3199,1086,311,10
453600,2912,1087,589,18
457200,2431,1087,1048,40
460800,1981,1087,1478,60
464400,1596,1087,1849,74
468000,1447,1087,1995,77
471600,1398,1087,2040,81
475200,1394,1087,2044,81
478800,1382,1087,2056,81
482400,1430,1085,2012,79
486000,1516,1085,1926,79
489600,1678,1085,1771,72
493200,2020,1085,1442,59
496800,2483,1085,1002,36
500400,2909,1085,593,19
504000,3221,1085,295,5
507600,3521,1085,0,0
511200,3517,1089,0,0
514800,3517,1089,0,0
518400,3517,1089,0,0
522000,3517,1089,0,0
525600,3517,1089,0,0
529200,3517,1089,0,0
532800,3517,1089,0,0
536400,3196,1089,311,10
540000,2916,1087,583,20
543600,2441,1087,1040,38
547200,1990,1087,1480,49
550800,1609,1087,1837,73
554400,1460,1087,1983,76
558000,1411,1087,2027,81
561600,1407,1087,2031,81
565200,1395,1087,2042,82
568800,1449,1079,2000,78
572400,1535,1079,1916,76
576000,1697,1079,1763,67
579600,2039,1079,1433,55
583200,2502,1079,981,44
586800,2928,1079,577,22
590400,3240,1079,275,12
594000,3527,1079,0,0
597600,3520,1086,0,0
601200,3520,1086,0,0
604800,3520,1086,0,0
608400,3520,1086,0,0
612000,3520,1086,0,0
615600,3520,1086,0,0
619200,3520,1086,0,0
622800,3198,1086,310,12
626400,2921,1083,585,17
630000,2450,1083,1040,33
633600,2003,1083,1468,52
637200,1621,1083,1832,70
640800,1477,1083,1968,78
644400,1428,1083,2015,80
648000,1424,1083,2019,80
651600,1412,1083,2030,81
655200,1464,1077,1986,79
658800,1550,1077,1903,76
662400,1712,1077,1748,69
666000,2054,1077,1419,56
669600,2517,1077,973,39
673200,2943,1077,565,21
676800,3255,1077,264,10
680400,3529,1077,0,0
684000,3518,1088,0,0
687600,3518,1088,0,0
691200,3518,1088,0,0
694800,3518,1088,0,0
698400,3518,1088,0,0
702000,3518,1088,0,0
705600,3518,1088,0,0
709200,3195,1088,313,10
712800,2928,1075,584,19
716400,2457,1075,1033,41
720000,2004,1075,1473,54
723600,1616,1075,1837,78
727200,1469,1075,1978,84
730800,1423,1075,2024,84
734400,1419,1075,2028,84
738000,1409,1075,2038,84
741600,1461,1069,1992,84
745200,1547,1069,1910,80
748800,1709,1069,1753,75
752400,2051,1069,1426,60
756000,2514,1069,982,41
759600,2940,1069,564,33
763200,3252,1069,272,13
766800,3537,1069,0,0
770400,3520,1086,0,0
774000,3520,1086,0,0
777600,3520,1086,0,0
781200,3520,1086,0,0
784800,3520,1086,0,0
788400,3520,1086,0,0
792000,3520,1086,0,0
795600,3204,1086,307,9
799200,2946,1067,574,19
802800,2479,1067,1025,35
806400,2036,1067,1455,48
810000,1663,1067,1812,64
813600,1521,1067,1948,70
817200,1475,1067,1991,73
820800,1472,1067,1994,73
824400,1461,1067,2005,73
828000,1517,1057,1959,73
831600,1603,1057,1875,71
835200,1765,1057,1718,66
838800,2107,1057,1387,55
842400,2570,1057,938,41
846000,2996,1057,532,21
849600,3308,1057,237,4
853200,3549,1057,0,0
856800,3526,1080,0,0
860400,3526,1080,0,0
864000,3526,1080,0,0
867600,3526,1080,0,0
871200,3526,1080,0,0
874800,3526,1080,0,0
878400,3526,1080,0,0
882000,3209,1080,305,12
885600,2948,1068,566,24
889200,2486,1068,1004,48
892800,2047,1068,1430,61
896400,1678,1068,1785,75
900000,1534,1068,1924,80
903600,1487,1068,1970,81
907200,1483,1068,1972,83
910800,1472,1068,1983,83
914400,1541,1045,1938,82
918000,1627,1045,1855,79
921600,1789,1045,1698,74
925200,2131,1045,1371,59
928800,2594,1045,927,40
932400,3020,1045,520,21
936000,3332,1045,219,10
939600,3561,1045,0,0
943200,3541,1065,0,0
946800,3541,1065,0,0
950400,3541,1065,0,0
954000,3541,1065,0,0
957600,3541,1065,0,0
961200,3541,1065,0,0
964800,3541,1065,0,0
968400,3230,1065,299,12
972000,2969,1049,562,26
975600,2502,1049,1014,41
979200,2074,1049,1427,56
982800,1706,1049,1779,72
986400,1569,1049,1911,77
990000,1526,1049,1953,78
993600,1522,1049,1957,78
997200,1511,1049,1968,78
1000800,1563,1043,1924,76
1004400,1649,1043,1839,75
1008000,1811,1043,1686,66
1011600,2153,1043,1358,52
1015200,2616,1043,913,34
1018800,3042,1043,499,22
1022400,3354,1043,200,9
1026000,3563,1043,0,0
1029600,3542,1064,0,0
1033200,3542,1064,0,0
1036800,3542,1064,0,0
1040400,3542,1064,0,0
1044000,3542,1064,0,0
1047600,3542,1064,0,0
1051200,3542,1064,0,0
1054800,3228,1064,303,11
1058400,2968,1053,564,21
1062000,2511,1053,1006,36
1065600,2075,1053,1426,52
1069200,1708,1053,1778,67
1072800,1567,1053,1913,73
1076400,1525,1053,1955,73
1080000,1521,1053,1959,73
1083600,1511,1053,1969,73
1087200,1602,1008,1925,71
1090800,1688,1008,1840,70
1094400,1850,1008,1687,61
1098000,2192,1008,1362,44
1101600,2655,1008,914,29
1105200,3081,1008,500,17
1108800,3393,1008,199,6
1112400,3598,1008,0,0
1116000,3550,1056,0,0
1119600,3550,1056,0,0
1123200,3550,1056,0,0
1126800,3550,1056,0,0
1130400,3550,1056,0,0
1134000,3550,1056,0,0
1137600,3550,1056,0,0
1141200,3239,1056,291,20
1144800,2995,1030,554,27
1148400,2548,1030,985,43
1152000,2128,1030,1392,56
1155600,1783,1030,1721,72
1159200,1647,1030,1853,76
1162800,1603,1030,1897,76
1166400,1600,1030,1899,77
1170000,1589,1030,1910,77
1173600,1664,1001,1866,75
1177200,1750,1001,1783,72
